line_item_id,name,fulfillment_service,fulfillment_status,origin_location_id,origin_location_name,origin_location_address1,origin_location_city,origin_location_zip,price,product_id,quantity,requires_shipping,sku,taxable,title,total_discount,variant_id,variant_title,variant_inventory_management,vendor,tax_rate
8977209688239,"Bierglas Campusbier 0,25 Liter",manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,2.0,3671074701391.0,2,True,00100,True,"Bierglas Campusbier 0,25 Liter",0.0,28554281254991.0,,shopify,Campusbier,0.16
8977209721007,"Kiste Campusbier Gemischt (2 x 12 Flaschen à 0,33 Liter)",manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,29.5,4361509961807.0,1,True,00032,True,"Kiste Campusbier Gemischt (2 x 12 Flaschen à 0,33 Liter)",0.0,31255055335503.0,,shopify,Campusbier,0.16
8977235804335,Weihnachtsbox - Frühstück,manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,34.9,6125543981231.0,2,True,,True,Weihnachtsbox - Frühstück,0.0,37749145993391.0,,shopify,Campusbier,0.16
8977251860655,"Pfand für Kiste Campusbier Gemischt (2 x 12 Flaschen à 0,33 Liter)",manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,3.42,,3,True,,False,"Pfand für Kiste Campusbier Gemischt (2 x 12 Flaschen à 0,33 Liter)",0.0,,,,Campusbier,
8977251893423,"Pfand für Kiste Campusbier Haster Hell (24 Flaschen à 0,33 Liter)",manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,3.42,,1,True,,False,"Pfand für Kiste Campusbier Haster Hell (24 Flaschen à 0,33 Liter)",0.0,,,,Campusbier,
8977251926191,"Kiste Campusbier Haster Hell (24 Flaschen à 0,33 Liter)",manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,29.5,2469026168911.0,1,True,00030,True,"Kiste Campusbier Haster Hell (24 Flaschen à 0,33 Liter)",0.0,21792556253263.0,,shopify,Campusbier,0.16
8977251958959,"Kiste Campusbier Gemischt (2 x 12 Flaschen à 0,33 Liter)",manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,29.5,4361509961807.0,3,True,00032,True,"Kiste Campusbier Gemischt (2 x 12 Flaschen à 0,33 Liter)",0.0,31255055335503.0,,shopify,Campusbier,0.16
8977307631791,"Pfand für Twin-Pack Campusbier Haster Dunkel und Hell (2 x 6 Flaschen à 0,33 Liter)",manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,0.96,,1,True,,False,"Pfand für Twin-Pack Campusbier Haster Dunkel und Hell (2 x 6 Flaschen à 0,33 Liter)",0.0,,,,Campusbier,
8977307664559,"Twin-Pack Campusbier Haster Dunkel und Hell (2 x 6 Flaschen à 0,33 Liter)",manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,17.0,4347192574031.0,1,True,00022,True,"Twin-Pack Campusbier Haster Dunkel und Hell (2 x 6 Flaschen à 0,33 Liter)",0.0,31174079283279.0,,shopify,Campusbier,0.16
8977442865327,"Pfand für Twin-Pack Campusbier Haster Dunkel und Hell (2 x 6 Flaschen à 0,33 Liter)",manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,0.96,,1,True,,False,"Pfand für Twin-Pack Campusbier Haster Dunkel und Hell (2 x 6 Flaschen à 0,33 Liter)",0.0,,,,Campusbier,
